"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"1414",5448,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Tversky|Savani|Tversky.Gati|Hsee|Schwarz|Ross.Slate2|Zhong|Shafir|Knobe|Norenzayan|Geissner|Risen|Hauser|Gray","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing",13,"Global","all",TRUE
"1428",5481,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Norenzayan|Zhong|Gray|Geissner|Ross.Slate2|Zaval|Hsee|Savani|Knobe|Tversky|Shafir|Tversky.Gati|Risen|Schwarz","ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing",14,"Global","all",TRUE
"1430",5485,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Norenzayan|Hsee|Gray|Knobe|Tversky|Hauser|Geissner|Risen|Shafir|Ross.Slate2|Zaval|Tversky.Gati|Schwarz|Savani","ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood",9,"Global","all",TRUE
"1431",5486,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Hauser|Risen|Schwarz|Shafir|Zaval|Hsee|Savani|Zhong|Gray|Knobe|Norenzayan|Tversky.Gati|Geissner|Tversky","ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection",3,"Global","all",TRUE
"1432",5487,8,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",8,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Zhong|Hsee|Shafir|Zaval|Hauser|Ross.Slate2|Geissner|Knobe|Gray|Schwarz|Savani|Risen|Norenzayan|Tversky.Gati","ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection",13,"Global","all",TRUE
"1459",5552,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Geissner|Schwarz|Ross.Slate2|Risen|Hauser|Norenzayan|Knobe|Shafir|Hsee|Zaval|Savani|Tversky.Gati|Gray|Tversky","ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing",5,"Global","all",TRUE
"1465",5574,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Zhong|Geissner|Risen|Hauser|Gray|Schwarz|Zaval|Tversky|Hsee|Knobe|Norenzayan|Ross.Slate2|Savani|Shafir","ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing",4,"Global","all",TRUE
"1466",5575,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Savani|Tversky|Hauser|Gray|Shafir|Geissner|Zhong|Knobe|Hsee|Tversky.Gati|Risen|Ross.Slate2|Schwarz|Zaval|Norenzayan","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection",11,"Global","all",TRUE
"1478",5614,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Norenzayan|Hsee|Gray|Savani|Ross.Slate2|Zhong|Hauser|Tversky.Gati|Knobe|Zaval|Schwarz|Shafir|Risen|Tversky","ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing",14,"Global","all",TRUE
"1479",5617,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Shafir|Risen|Tversky.Gati|Hauser|Schwarz|Norenzayan|Gray|Ross.Slate2|Knobe|Zaval|Savani|Geissner|Zhong|Hsee","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five",3,"Global","all",TRUE
"1483",5624,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Savani|Ross.Slate2|Schwarz|Tversky.Gati|Zhong|Shafir|Risen|Zaval|Hsee|Norenzayan|Tversky|Gray|Knobe|Geissner","ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection",8,"Global","all",TRUE
"1488",5639,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",2,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Tversky|Hsee|Knobe|Hauser|Zhong|Zaval|Savani|Shafir|Risen|Tversky.Gati|Norenzayan|Ross.Slate2|Gray|Geissner","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing",10,"Global","all",TRUE
"1491",5648,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Knobe|Zaval|Savani|Risen|Schwarz|Gray|Norenzayan|Tversky.Gati|Zhong|Hsee|Tversky|Geissner|Hauser|Ross.Slate2","ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five",5,"Global","all",TRUE
"1498",5659,9,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",9,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Hauser|Tversky.Gati|Shafir|Schwarz|Tversky|Hsee|Zhong|Savani|Ross.Slate2|Gray|Knobe|Norenzayan|Risen|Geissner","ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection",14,"Global","all",TRUE
"1523",5715,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Zaval|Tversky|Savani|Zhong|Geissner|Hauser|Knobe|Norenzayan|Shafir|Tversky.Gati|Ross.Slate2|Gray|Schwarz|Hsee","ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing",1,"Global","all",TRUE
"1524",5716,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Hsee|Zhong|Ross.Slate2|Knobe|Geissner|Zaval|Tversky|Schwarz|Shafir|Savani|Risen|Norenzayan|Hauser|Gray","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood",12,"Global","all",TRUE
"1564",5784,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Zaval|Knobe|Gray|Hsee|Norenzayan|Schwarz|Hauser|Shafir|Tversky|Risen|Zhong|Geissner|Ross.Slate2|Savani","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood",11,"Global","all",TRUE
"1565",5785,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Zhong|Hsee|Norenzayan|Tversky.Gati|Shafir|Hauser|Gray|Schwarz|Geissner|Savani|Tversky|Risen|Zaval|Knobe","ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE",13,"Global","all",TRUE
"1566",5794,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Zhong|Savani|Shafir|Schwarz|Knobe|Risen|Norenzayan|Hauser|Hsee|Zaval|Tversky.Gati|Geissner|Tversky|Gray","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing",7,"Global","all",TRUE
"1567",5795,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Hsee|Ross.Slate2|Norenzayan|Knobe|Tversky.Gati|Zhong|Savani|Hauser|Risen|Tversky|Geissner|Shafir|Schwarz|Zaval","ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE",10,"Global","all",TRUE
"1568",5796,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Savani|Hsee|Gray|Tversky.Gati|Hauser|Ross.Slate2|Tversky|Risen|Norenzayan|Schwarz|Geissner|Zhong|Shafir|Knobe|Zaval","ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE",8,"Global","all",TRUE
"1569",5797,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Tversky|Knobe|Hauser|Gray|Risen|Zaval|Hsee|Tversky.Gati|Shafir|Zhong|Ross.Slate2|Savani|Geissner|Norenzayan","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection",6,"Global","all",TRUE
"1570",5798,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Zhong|Risen|Ross.Slate2|Savani|Tversky.Gati|Hsee|Shafir|Zaval|Knobe|Gray|Geissner|Tversky|Hauser|Norenzayan","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five",3,"Global","all",TRUE
"1571",5806,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Savani|Knobe|Risen|Schwarz|Ross.Slate2|Shafir|Hauser|Zhong|Norenzayan|Gray|Geissner|Tversky.Gati|Tversky|Zaval","ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing",4,"Global","all",TRUE
"1572",5807,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Gray|Ross.Slate2|Risen|Geissner|Tversky.Gati|Savani|Knobe|Norenzayan|Hsee|Tversky|Zaval|Schwarz|Zhong|Hauser","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five",4,"Global","all",TRUE
"1573",5808,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Tversky|Risen|Ross.Slate2|Schwarz|Knobe|Hauser|Hsee|Zhong|Shafir|Zaval|Norenzayan|Tversky.Gati|Geissner|Savani","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection",3,"Global","all",TRUE
"1576",5826,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",2,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Zaval|Hsee|Hauser|Knobe|Schwarz|Ross.Slate2|Gray|Risen|Shafir|Tversky|Savani|Geissner|Norenzayan|Zhong","ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE",9,"Global","all",TRUE
"1577",5827,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Hsee|Risen|Zhong|Hauser|Savani|Ross.Slate2|Zaval|Shafir|Tversky|Knobe|Tversky.Gati|Gray|Geissner|Norenzayan","ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection",3,"Global","all",TRUE
"1579",5832,1,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",1,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Geissner|Schwarz|Hauser|Tversky.Gati|Risen|Zaval|Zhong|Knobe|Shafir|Gray|Savani|Ross.Slate2|Norenzayan|Hsee","ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection",6,"Global","all",TRUE
"1597",5875,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Norenzayan|Tversky.Gati|Ross.Slate2|Hauser|Risen|Zaval|Tversky|Hsee|Savani|Geissner|Schwarz|Knobe|Gray|Zhong","ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection",6,"Global","all",TRUE
"1598",5878,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Risen|Ross.Slate2|Schwarz|Zaval|Geissner|Gray|Norenzayan|Hsee|Zhong|Shafir|Knobe|Tversky|Savani|Tversky.Gati","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing",2,"Global","all",TRUE
"1599",5886,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Knobe|Tversky.Gati|Hsee|Ross.Slate2|Geissner|Zhong|Risen|Tversky|Gray|Schwarz|Shafir|Hauser|Norenzayan|Savani|Zaval","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood",7,"Global","all",TRUE
